Caller	Callee
org.apache.commons.beanutils.PropertyUtils.getPropertyEditorClass(Object,String)	org.apache.commons.beanutils.PropertyUtilsBean.getInstance()
org.apache.commons.beanutils.BeanUtilsTestCase.testPopulateMapped()	org.apache.commons.beanutils.BeanUtils.populate(Object,Map<String, Object>)
org.apache.commons.beanutils.BeanUtilsBenchCase.setUp()	org.apache.commons.beanutils.BenchBean.getStringProperty()
org.apache.commons.beanutils.PropertyUtilsBenchCase.setUp()	org.apache.commons.beanutils.DynaBean.set(String,Object)
org.apache.commons.beanutils.BeanMapTestCase.makeFullMap()	org.apache.commons.beanutils.BeanMapTestCase.BeanWithProperties.setSomeIntValue(int)
org.apache.commons.beanutils.WrapDynaBeanTestCase.checkSimplePropertyAccess()	org.apache.commons.beanutils.DynaBean.get(String)
org.apache.commons.beanutils.ConvertUtils.getDefaultCharacter()	org.apache.commons.beanutils.ConvertUtilsBean.getInstance()
org.apache.commons.beanutils.bugs.Jira381TestCase.testIssue_BEANUTILS_381_getMatchingAccessibleMethod()	org.apache.commons.beanutils.MethodUtils.getMatchingAccessibleMethod(Class<?>,String,Class<?>)
org.apache.commons.beanutils.PropertyUtilsBean.getMappedProperty(Object,String,String)	org.apache.commons.beanutils.DynaBean.getDynaClass()
org.apache.commons.beanutils.ConvertUtilsBean.register(boolean,boolean,int)	org.apache.commons.beanutils.ConvertUtilsBean.registerStandard(boolean,boolean)
org.apache.commons.beanutils.LazyDynaMapTestCase.testMappedPropertyUtils()	org.apache.commons.beanutils.LazyDynaMap.setReturnNull(boolean)
org.apache.commons.beanutils.BeanComparatorTestCase.testSimpleCompareInverse()	org.apache.commons.beanutils.BeanComparator.compare(T,T)
org.apache.commons.beanutils.LazyDynaList.addAll(int,Collection<?>)	org.apache.commons.beanutils.LazyDynaList.add(int,Object)
org.apache.commons.beanutils.locale.LocaleBeanUtilsBean.getIndexedProperty(Object,String,String)	org.apache.commons.beanutils.PropertyUtilsBean.getIndexedProperty(Object,String)
org.apache.commons.beanutils.DynaPropertyUtilsTestCase.testSetIndexedValues()	org.apache.commons.beanutils.PropertyUtils.getIndexedProperty(Object,String)
org.apache.commons.beanutils.converters.ClassConverterTestCase.testConvertToString()	org.apache.commons.beanutils.Converter.convert(Class<T>,Object)
org.apache.commons.beanutils.LazyDynaMapTestCase.testSimpleProperty()	org.apache.commons.beanutils.LazyDynaBean.get(String)
org.apache.commons.beanutils.locale.LocaleBeanUtilsTestCase.testSetNestedPropertyIndexed()	org.apache.commons.beanutils.TestBean.getIntIndexed(int)
org.apache.commons.beanutils.PropertyUtilsTestCase.testSetMappedValues()	org.apache.commons.beanutils.PropertyUtils.setMappedProperty(Object,String,Object)
org.apache.commons.beanutils.BeanUtilsTestCase.testCopyPropertyNestedIndexedArray()	org.apache.commons.beanutils.TestBean.getNested()
org.apache.commons.beanutils.locale.LocaleBeanUtils.getApplyLocalized()	org.apache.commons.beanutils.locale.LocaleBeanUtilsBean.getApplyLocalized()
org.apache.commons.beanutils.DynaPropertyUtilsTestCase.testSetMappedArguments()	org.apache.commons.beanutils.PropertyUtils.setMappedProperty(Object,String,String,Object)
org.apache.commons.beanutils.ConvertUtils.convert(Object)	org.apache.commons.beanutils.ConvertUtilsBean.convert(Object)
org.apache.commons.beanutils.locale.LocaleBeanUtils.setProperty(Object,String,Object)	org.apache.commons.beanutils.locale.LocaleBeanUtilsBean.getLocaleBeanUtilsInstance()
org.apache.commons.beanutils.BeanificationTestCase.testBeanUtilsBeanSetInstance()	org.apache.commons.beanutils.BeanificationTestCase.Signal.setBean(BeanUtilsBean)
org.apache.commons.beanutils.BasicDynaBeanTestCase.testGetDescriptorShort()	org.apache.commons.beanutils.BasicDynaBeanTestCase.testGetDescriptorBase(String,Class<?>)
org.apache.commons.beanutils.locale.LocaleBeanificationTestCase.SetInstanceTesterThread.run()	org.apache.commons.beanutils.locale.LocaleBeanificationTestCase.Signal.setBean(LocaleBeanUtilsBean)
org.apache.commons.beanutils.MethodUtilsTestCase.testPublicSub()	org.apache.commons.beanutils.MethodUtils.getAccessibleMethod(Class<?>,String,Class<?>)
org.apache.commons.beanutils.BasicDynaBeanTestCase.testSetMappedValues()	org.apache.commons.beanutils.DynaBean.set(String,String,Object)
org.apache.commons.beanutils.ConstructorUtils.invokeExactConstructor(Class<T>,Object)	org.apache.commons.beanutils.ConstructorUtils.invokeExactConstructor(Class<T>,Object[])
org.apache.commons.beanutils.TestResultSetMetaData.invoke(Object,Method,Object[])	org.apache.commons.beanutils.TestResultSetMetaData.getColumnCount()
org.apache.commons.beanutils.DynaPropertyUtilsTestCase.testSetSimpleBoolean()	org.apache.commons.beanutils.DynaBean.get(String)
org.apache.commons.beanutils.BeanUtilsBean.getIndexedProperty(Object,String)	org.apache.commons.beanutils.BeanUtilsBean.getConvertUtils()
org.apache.commons.beanutils.LazyDynaBeanTestCase.testMappedPropertyDefault()	org.apache.commons.beanutils.LazyDynaBean.get(String)
org.apache.commons.beanutils.MappedPropertyTestCase.testMappedSetterOnly()	org.apache.commons.beanutils.MappedPropertyDescriptor.getMappedReadMethod()
org.apache.commons.beanutils.BeanificationTestCase.TestIndependenceThread.run()	org.apache.commons.beanutils.BeanificationTestCase.Signal.setSignal(int)
org.apache.commons.beanutils.PropertyUtilsTestCase.testSetMappedValues()	org.apache.commons.beanutils.PropertyUtils.getMappedProperty(Object,String,String)
org.apache.commons.beanutils.locale.LocaleBeanUtilsTestCase.testSetNestedPropertyIndexed()	org.apache.commons.beanutils.TestBean.setIntIndexed(int,int)
org.apache.commons.beanutils.converters.NumberConverter.getFormat()	org.apache.commons.beanutils.converters.AbstractConverter.log()
org.apache.commons.beanutils.PropertyUtils.clearDescriptors()	org.apache.commons.beanutils.PropertyUtilsBean.clearDescriptors()
org.apache.commons.beanutils.LazyDynaBeanTestCase.testMappedInvalidType()	org.apache.commons.beanutils.DynaProperty.isMapped()
org.apache.commons.beanutils.BeanIntrospectionDataTestCase.setUpData()	org.apache.commons.beanutils.BeanIntrospectionDataTestCase.fetchDescriptors()
org.apache.commons.beanutils.locale.LocaleBeanUtilsBean.calculate(Object,String)	org.apache.commons.beanutils.expression.Resolver.getIndex(String)
org.apache.commons.beanutils.memoryleaktests.MemoryLeakTestCase.clearAllBeanUtilsCaches()	org.apache.commons.beanutils.BeanUtilsBean.getPropertyUtils()
org.apache.commons.beanutils.BeanUtilsTestCase.testSeparateInstances()	org.apache.commons.beanutils.BeanUtilsBean.getConvertUtils()
org.apache.commons.beanutils.LazyDynaMap.set(String,Object)	org.apache.commons.beanutils.LazyDynaMap.isRestricted()
org.apache.commons.beanutils.LazyDynaList.setElementDynaClass(DynaClass)	org.apache.commons.beanutils.LazyDynaMap.getMap()
org.apache.commons.beanutils.ConstructorUtilsTestCase.testInvokeExactConstructorWithArgArray()	org.apache.commons.beanutils.TestBean.getStringProperty()
org.apache.commons.beanutils.PropertyUtilsTestCase.testSetNoGetter()	org.apache.commons.beanutils.PropertyUtils.setMappedProperty(Object,String,String,Object)
org.apache.commons.beanutils.WrapDynaClass.getDynaClassesMap()	org.apache.commons.beanutils.ContextClassLoaderLocal.get()
org.apache.commons.beanutils.DynaBeanMapDecoratorTestCase.testPutAll()	org.apache.commons.beanutils.DynaProperty.getName()
org.apache.commons.beanutils.PropertyUtilsBean.getMappedProperty(Object,String,String)	org.apache.commons.beanutils.DynaClass.getDynaProperty(String)
org.apache.commons.beanutils.IndexedPropertyTestCase.testSetList()	org.apache.commons.beanutils.IndexedTestBean.getStringList()
org.apache.commons.beanutils.converters.NumberConverterTestBase.testConvertNumber()	org.apache.commons.beanutils.converters.NumberConverterTestBase.makeConverter()
org.apache.commons.beanutils.PropertyUtils.getWriteMethod(PropertyDescriptor)	org.apache.commons.beanutils.PropertyUtilsBean.getWriteMethod(PropertyDescriptor)
org.apache.commons.beanutils.PropertyUtilsBean.getWriteMethod(Class<?>,PropertyDescriptor)	org.apache.commons.beanutils.BeanIntrospectionData.getWriteMethod(Class<?>,PropertyDescriptor)
org.apache.commons.beanutils.DynaRowSetTestCase.testLimitedRows()	org.apache.commons.beanutils.TestResultSet.createProxy()
org.apache.commons.beanutils.MethodUtils.getAccessibleMethod(Class<?>,String,Class<?>)	org.apache.commons.beanutils.MethodUtils.getCachedMethod(MethodDescriptor)
org.apache.commons.beanutils.IndexedPropertyTestCase.testSetListItemB()	org.apache.commons.beanutils.IndexedTestBean.getStringList(int)
org.apache.commons.beanutils.BasicDynaBeanTestCase.testMappedRemove()	org.apache.commons.beanutils.DynaBean.contains(String,String)
org.apache.commons.beanutils.bugs.Jira345TestCase.testBeanUtilsSetProperty_3DArray()	org.apache.commons.beanutils.BeanUtils.setProperty(Object,String,Object)
org.apache.commons.beanutils.DynaBeanUtilsTestCase.testPopulateScalar()	org.apache.commons.beanutils.DynaBean.get(String)
org.apache.commons.beanutils.BeanUtilsBean.describe(Object)	org.apache.commons.beanutils.DynaProperty.getName()
org.apache.commons.beanutils.BeanUtils2TestCase.testSetPropertyConvertToStringArray()	org.apache.commons.beanutils.BeanUtils.setProperty(Object,String,Object)
org.apache.commons.beanutils.BeanUtilsTestCase.testPopulateArrayElements()	org.apache.commons.beanutils.BeanUtils.populate(Object,Map<String, Object>)
org.apache.commons.beanutils.LazyDynaListTestCase.testToArrayUnsufficientSize()	org.apache.commons.beanutils.LazyDynaList.toArray(T[])
org.apache.commons.beanutils.WrapDynaBean.getPropertyUtils()	org.apache.commons.beanutils.PropertyUtilsBean.getInstance()
org.apache.commons.beanutils.DynaBeanUtilsTestCase.testGetSimpleProperty()	org.apache.commons.beanutils.BeanUtils.getSimpleProperty(Object,String)
org.apache.commons.beanutils.locale.converters.FloatLocaleConverterTestCase.testParseZero()	org.apache.commons.beanutils.locale.LocaleConvertUtils.convert(String,Class<?>,Locale,String)
org.apache.commons.beanutils.bugs.Jira369TestCase.main(String[])	org.apache.commons.beanutils.bugs.Jira369TestCase.suite()
org.apache.commons.beanutils.DynaBeanUtilsTestCase.testCopyPropertiesDynaBean()	org.apache.commons.beanutils.DynaBean.get(String)
org.apache.commons.beanutils.BeanIntrospectionDataTestCase.testGetWriteMethodNonExisting()	org.apache.commons.beanutils.BeanIntrospectionData.getWriteMethod(Class<?>,PropertyDescriptor)
