Caller	Callee
org.apache.commons.codec.binary.Base64Test.testObjectDecodeWithValidParameter()	org.apache.commons.codec.binary.Base64.decode(Object)
org.apache.commons.codec.language.SoundexTest.testMaxLength()	org.apache.commons.codec.language.Soundex.getMaxLength()
org.apache.commons.codec.language.RefinedSoundex.encode(Object)	org.apache.commons.codec.language.RefinedSoundex.soundex(String)
org.apache.commons.codec.base64.Base64Test.testEncodeDecodeSmall()	org.apache.commons.codec.base64.Base64.decode(byte[])
org.apache.commons.codec.binary.HexTest.testEncodeEmpty()	org.apache.commons.codec.binary.Hex.encodeHex(byte[])
org.apache.commons.codec.binary.HexTest.testOddCharacters()	org.apache.commons.codec.binary.Hex.decodeHex(char[])
org.apache.commons.codec.binary.Base64.discardNonBase64(byte[])	org.apache.commons.codec.binary.Base64.isBase64(byte)
org.apache.commons.codec.base64.Base64Test.testKnownEncodings()	org.apache.commons.codec.base64.Base64.encode(byte[])
org.apache.commons.codec.language.SoundexTest.testMaxLength()	org.apache.commons.codec.language.Soundex.setMaxLength(int)
org.apache.commons.codec.base64.Base64.isBase64(String)	org.apache.commons.codec.base64.Base64.isBase64(byte[])
org.apache.commons.codec.binary.Base64.decode(Object)	org.apache.commons.codec.binary.Base64.decode(byte[])
org.apache.commons.codec.binary.Base64.decodeBase64(byte[])	org.apache.commons.codec.binary.Base64.discardNonBase64(byte[])
org.apache.commons.codec.binary.Base64.encodeBase64Chunked(byte[])	org.apache.commons.codec.binary.Base64.encodeBase64(byte[],boolean)
org.apache.commons.codec.binary.HexTest.testHelloWorld()	org.apache.commons.codec.binary.Hex.encodeHex(byte[])
org.apache.commons.codec.language.Metaphone.encode(String)	org.apache.commons.codec.language.Metaphone.metaphone(String)
org.apache.commons.codec.base64.Base64Test.testEncodeDecodeRandom()	org.apache.commons.codec.base64.Base64.isBase64(String)
org.apache.commons.codec.binary.Base64Test.testObjectEncodeWithValidParameter()	org.apache.commons.codec.binary.Base64.encode(Object)
org.apache.commons.codec.binary.Base64Test.testEncodeDecodeSmall()	org.apache.commons.codec.binary.Base64.isArrayByteBase64(byte[])
org.apache.commons.codec.base64.Base64.encode(String)	org.apache.commons.codec.base64.Base64.encode(String,String)
org.apache.commons.codec.binary.Base64Test.testEncodeDecodeSmall()	org.apache.commons.codec.binary.Base64Test.toString(byte[])
org.apache.commons.codec.binary.Base64Test.testEncodeDecodeSmall()	org.apache.commons.codec.binary.Base64.encodeBase64(byte[])
org.apache.commons.codec.binary.Base64Test.testDiscardingOfWhiteSpace()	org.apache.commons.codec.binary.Base64.decodeBase64(byte[])
org.apache.commons.codec.StringEncoderAbstractTest.testEncodeEmpty()	org.apache.commons.codec.StringEncoderAbstractTest.makeEncoder()
org.apache.commons.codec.StringEncoderAbstractTest.testEncodeNull()	org.apache.commons.codec.StringEncoderAbstractTest.makeEncoder()
org.apache.commons.codec.binary.Base64.isArrayByteBase64(byte[])	org.apache.commons.codec.binary.Base64.discardWhitespace(byte[])
org.apache.commons.codec.binary.Base64Test.testKnownEncodings()	org.apache.commons.codec.binary.Base64.encodeBase64(byte[])
org.apache.commons.codec.BinaryEncoderAbstractTest.testEncodeNull()	org.apache.commons.codec.BinaryEncoderAbstractTest.makeEncoder()
org.apache.commons.codec.language.SoundexTest.testEncode()	org.apache.commons.codec.language.Soundex.encode(String)
org.apache.commons.codec.binary.Base64.encode(Object)	org.apache.commons.codec.binary.Base64.encode(byte[])
org.apache.commons.codec.binary.HexTest.testEncodeDecodeRandom()	org.apache.commons.codec.binary.Hex.encodeHex(byte[])
org.apache.commons.codec.binary.Base64Test.testKnownDecodings()	org.apache.commons.codec.binary.Base64.decodeBase64(byte[])
org.apache.commons.codec.binary.Base64Test.testNonBase64Test()	org.apache.commons.codec.binary.Base64.isArrayByteBase64(byte[])
org.apache.commons.codec.BinaryEncoderAbstractTest.testEncodeEmpty()	org.apache.commons.codec.BinaryEncoder.encode(byte[])
org.apache.commons.codec.BinaryEncoderAbstractTest.testEncodeNull()	org.apache.commons.codec.Encoder.encode(Object)
org.apache.commons.codec.binary.Base64Test.testKnownEncodings()	org.apache.commons.codec.binary.Base64.encodeBase64Chunked(byte[])
org.apache.commons.codec.binary.Base64Test.testObjectEncodeWithInvalidParameter()	org.apache.commons.codec.binary.Base64.encode(Object)
org.apache.commons.codec.binary.HexTest.testEncodeZeroes()	org.apache.commons.codec.binary.Hex.encodeHex(byte[])
org.apache.commons.codec.binary.Base64.encodeBase64(byte[])	org.apache.commons.codec.binary.Base64.encodeBase64(byte[],boolean)
org.apache.commons.codec.base64.Base64Test.testSingletons()	org.apache.commons.codec.base64.Base64.encode(byte[])
