Caller	Callee
org.apache.commons.fileupload.ThresholdingOutputStream.write(int)	org.apache.commons.fileupload.ThresholdingOutputStream.getStream()
org.apache.commons.fileupload.DefaultFileItem.getOutputStream()	org.apache.commons.fileupload.DefaultFileItem.getTempFile()
org.apache.commons.fileupload.DiskFileUpload.parseRequest(HttpServletRequest,int,long,String)	org.apache.commons.fileupload.FileUploadBase.setSizeMax(long)
org.apache.commons.fileupload.ThresholdingOutputStream.write(byte[])	org.apache.commons.fileupload.ThresholdingOutputStream.getStream()
org.apache.commons.fileupload.DefaultFileItemTest.doTestAboveThreshold(File)	org.apache.commons.fileupload.DefaultFileItem.getStoreLocation()
org.apache.commons.fileupload.DefaultFileItemTest.testBelowThreshold()	org.apache.commons.fileupload.FileItemFactory.createItem(String,String,boolean,String)
org.apache.commons.fileupload.ThresholdingOutputStream.write(int)	org.apache.commons.fileupload.ThresholdingOutputStream.checkThreshold(int)
org.apache.commons.fileupload.DeferredFileOutputStreamTest.testThresholdReached()	org.apache.commons.fileupload.DeferredFileOutputStream.getData()
org.apache.commons.fileupload.DeferredFileOutputStreamTest.testBelowThreshold()	org.apache.commons.fileupload.DeferredFileOutputStream.getData()
org.apache.commons.fileupload.DiskFileUpload.getSizeThreshold()	org.apache.commons.fileupload.DefaultFileItemFactory.getSizeThreshold()
org.apache.commons.fileupload.FileUploadBase.createItem(Map,boolean)	org.apache.commons.fileupload.FileUploadBase.getHeader(Map,String)
org.apache.commons.fileupload.DefaultFileItemTest.doTestAboveThreshold(File)	org.apache.commons.fileupload.FileItemFactory.createItem(String,String,boolean,String)
org.apache.commons.fileupload.ThresholdingOutputStream.close()	org.apache.commons.fileupload.ThresholdingOutputStream.getStream()
org.apache.commons.fileupload.DefaultFileItemTest.testFileFieldConstruction()	org.apache.commons.fileupload.FileItem.getName()
org.apache.commons.fileupload.DeferredFileOutputStream.isInMemory()	org.apache.commons.fileupload.ThresholdingOutputStream.isThresholdExceeded()
org.apache.commons.fileupload.DeferredFileOutputStreamTest.testAboveThreshold()	org.apache.commons.fileupload.ThresholdingOutputStream.write(byte[],int,int)
org.apache.commons.fileupload.DeferredFileOutputStreamTest.testAboveThreshold()	org.apache.commons.fileupload.DeferredFileOutputStreamTest.verifyResultFile(File)
org.apache.commons.fileupload.FileUploadBase.parseRequest(HttpServletRequest)	org.apache.commons.fileupload.MultipartStream.setHeaderEncoding(String)
org.apache.commons.fileupload.FileUploadBase.parseRequest(HttpServletRequest)	org.apache.commons.fileupload.MultipartStream.setBoundary(byte[])
org.apache.commons.fileupload.DefaultFileItem.getTempFile()	org.apache.commons.fileupload.DefaultFileItem.getUniqueId()
org.apache.commons.fileupload.DeferredFileOutputStreamTest.testAboveThreshold()	org.apache.commons.fileupload.ThresholdingOutputStream.close()
org.apache.commons.fileupload.MultipartStream.readBoundary()	org.apache.commons.fileupload.MultipartStream.readByte()
org.apache.commons.fileupload.DefaultFileItemTest.testTextFieldConstruction()	org.apache.commons.fileupload.FileItem.isFormField()
org.apache.commons.fileupload.DefaultFileItemTest.testFileFieldConstruction()	org.apache.commons.fileupload.FileItem.getFieldName()
org.apache.commons.fileupload.DeferredFileOutputStreamTest.testAboveThreshold()	org.apache.commons.fileupload.DeferredFileOutputStream.isInMemory()
org.apache.commons.fileupload.DefaultFileItemTest.testTextFieldConstruction()	org.apache.commons.fileupload.FileItemFactory.createItem(String,String,boolean,String)
org.apache.commons.fileupload.DefaultFileItemTest.doTestAboveThreshold(File)	org.apache.commons.fileupload.FileItem.delete()
org.apache.commons.fileupload.MultipartStream.readHeaders()	org.apache.commons.fileupload.MultipartStream.readByte()
org.apache.commons.fileupload.DefaultFileItemTest.doTestAboveThreshold(File)	org.apache.commons.fileupload.FileItem.getOutputStream()
org.apache.commons.fileupload.DefaultFileItemTest.testBelowThreshold()	org.apache.commons.fileupload.DefaultFileItemTest.createFactory(File)
org.apache.commons.fileupload.FileUploadTest.testWithNullContentType()	org.apache.commons.fileupload.HttpServletRequestFactory.createHttpServletRequestWithNullContentType()
org.apache.commons.fileupload.DefaultFileItem.getSize()	org.apache.commons.fileupload.DeferredFileOutputStream.getData()
org.apache.commons.fileupload.FileUploadBase.parseRequest(HttpServletRequest)	org.apache.commons.fileupload.FileUploadBase.createItem(Map,boolean)
org.apache.commons.fileupload.DiskFileUpload.parseRequest(HttpServletRequest,int,long,String)	org.apache.commons.fileupload.DiskFileUpload.setSizeThreshold(int)
org.apache.commons.fileupload.DefaultFileItemTest.testTextFieldConstruction()	org.apache.commons.fileupload.DefaultFileItemTest.createFactory(File)
org.apache.commons.fileupload.ThresholdingOutputStream.write(byte[],int,int)	org.apache.commons.fileupload.ThresholdingOutputStream.getStream()
org.apache.commons.fileupload.DefaultFileItem.getSize()	org.apache.commons.fileupload.DeferredFileOutputStream.getFile()
org.apache.commons.fileupload.DeferredFileOutputStreamTest.testAboveThreshold()	org.apache.commons.fileupload.DeferredFileOutputStream.getData()
org.apache.commons.fileupload.FileUploadBase.createItem(Map,boolean)	org.apache.commons.fileupload.FileUploadBase.getFieldName(Map)
