Caller	Callee
org.apache.commons.fileupload.ServletFileUploadTest.testFoldedHeaders()	org.apache.commons.fileupload.FileItem.getString()
org.apache.commons.fileupload.SizesTest.testFileUpload()	org.apache.commons.fileupload.FileItem.getFieldName()
org.apache.commons.fileupload.ProgressListenerTest.runTest(int,long,MockHttpServletRequest)	org.apache.commons.fileupload.FileUploadBase.setProgressListener(ProgressListener)
org.apache.commons.fileupload.DiskFileUpload.parseRequest(HttpServletRequest,int,long,String)	org.apache.commons.fileupload.FileUploadBase.setSizeMax(long)
org.apache.commons.fileupload.ParameterParser.parse(char[],int,int,char)	org.apache.commons.fileupload.ParameterParser.parseQuotedToken(char[])
org.apache.commons.fileupload.FileUploadBase.FileItemIteratorImpl.findNextItem()	org.apache.commons.fileupload.MultipartStream.ProgressNotifier.noteItem()
org.apache.commons.fileupload.DiskFileItemSerializeTest.testBelowThreshold()	org.apache.commons.fileupload.FileItem.isInMemory()
org.apache.commons.fileupload.disk.DiskFileItem.write(File)	org.apache.commons.fileupload.disk.DiskFileItem.get()
org.apache.commons.fileupload.servlet.ServletFileUpload.parseRequest(HttpServletRequest)	org.apache.commons.fileupload.FileUploadBase.parseRequest(RequestContext)
org.apache.commons.fileupload.DiskFileItemSerializeTest.compareFileItems(FileItem,FileItem)	org.apache.commons.fileupload.FileItem.isFormField()
org.apache.commons.fileupload.StreamingTest.newRequest()	org.apache.commons.fileupload.StreamingTest.getFooter()
org.apache.commons.fileupload.FileUploadTestCase.parseUpload(byte[],String)	org.apache.commons.fileupload.servlet.ServletFileUpload.parseRequest(HttpServletRequest)
org.apache.commons.fileupload.SizesTest.testMaxSizeLimitUnknownContentLength()	org.apache.commons.fileupload.MockHttpServletRequest.setContentLength(long)
org.apache.commons.fileupload.ServletFileUploadTest.testFileUpload130()	org.apache.commons.fileupload.ServletFileUploadTest.assertHeaders(String[],String[],FileItem,int)
org.apache.commons.fileupload.util.mime.MimeUtility.decodeText(String)	org.apache.commons.fileupload.util.mime.MimeUtility.decodeWord(String)
org.apache.commons.fileupload.SizesTest.testMaxSizeLimitUnknownContentLength()	org.apache.commons.fileupload.util.Streams.copy(InputStream,OutputStream,boolean)
org.apache.commons.fileupload.servlet.ServletRequestContext.toString()	org.apache.commons.fileupload.servlet.ServletRequestContext.getContentType()
org.apache.commons.fileupload.StreamingTest.testIOException()	org.apache.commons.fileupload.StreamingTest.Anonymous-630cdea8-2ed2-446b-bcd2-c0b3d0faa8e4.read()
org.apache.commons.fileupload.ParameterParser.parseQuotedToken(char[])	org.apache.commons.fileupload.ParameterParser.isOneOf(char,char[])
org.apache.commons.fileupload.FileUploadBase.getFileName(FileItemHeaders)	org.apache.commons.fileupload.FileItemHeaders.getHeader(String)
org.apache.commons.fileupload.MultipartStream.ProgressNotifier.notifyListener()	org.apache.commons.fileupload.ProgressListener.update(long,long,int)
org.apache.commons.fileupload.ParameterParserTest.fileUpload199()	org.apache.commons.fileupload.ParameterParser.parse(String,char[])
org.apache.commons.fileupload.ParameterParser.parse(char[],int,int,char)	org.apache.commons.fileupload.ParameterParser.hasChar()
org.apache.commons.fileupload.ServletFileUploadTest.testFoldedHeaders()	org.apache.commons.fileupload.FileItem.getName()
org.apache.commons.fileupload.FileUploadBase.parseHeaders(String)	org.apache.commons.fileupload.FileItemHeaders.getHeaders(String)
org.apache.commons.fileupload.disk.DiskFileItem.get()	org.apache.commons.fileupload.disk.DiskFileItem.getSize()
org.apache.commons.fileupload.FileUploadBase.getBoundary(String)	org.apache.commons.fileupload.ParameterParser.setLowerCaseNames(boolean)
org.apache.commons.fileupload.FileUploadBase.getParsedHeaders(String)	org.apache.commons.fileupload.FileUploadBase.newFileItemHeaders()
org.apache.commons.fileupload.MultipartStream.ItemInputStream.read()	org.apache.commons.fileupload.MultipartStream.ItemInputStream.available()
org.apache.commons.fileupload.MultipartStream.readBoundary()	org.apache.commons.fileupload.MultipartStream.readByte()
org.apache.commons.fileupload.DefaultFileItemTest.testFileFieldConstruction()	org.apache.commons.fileupload.FileItem.getFieldName()
org.apache.commons.fileupload.ServletFileUploadTest.testEmptyFile()	org.apache.commons.fileupload.FileItem.getString()
org.apache.commons.fileupload.ServletFileUploadTest.testFileUpload130()	org.apache.commons.fileupload.FileUploadTestCase.parseUpload(String)
org.apache.commons.fileupload.DefaultFileItemTest.testTextFieldConstruction()	org.apache.commons.fileupload.FileItemFactory.createItem(String,String,boolean,String)
org.apache.commons.fileupload.FileUploadBase.parseHeaders(String)	org.apache.commons.fileupload.FileItemHeaders.getHeaderNames()
org.apache.commons.fileupload.DefaultFileItemTest.doTestAboveThreshold(File)	org.apache.commons.fileupload.FileItem.delete()
org.apache.commons.fileupload.SizesTest.testMaxSizeLimitUnknownContentLength()	org.apache.commons.fileupload.FileItemStream.openStream()
org.apache.commons.fileupload.DefaultFileItemTest.testContentCharSet()	org.apache.commons.fileupload.DefaultFileItemTest.createFactory(File)
org.apache.commons.fileupload.DiskFileItemSerializeTest.testAboveThreshold()	org.apache.commons.fileupload.FileItem.get()
org.apache.commons.fileupload.FileUploadBase.FileItemIteratorImpl.hasNext()	org.apache.commons.fileupload.FileUploadBase.FileItemIteratorImpl.findNextItem()
org.apache.commons.fileupload.ServletFileUploadTest.testFileUpload()	org.apache.commons.fileupload.FileItem.getName()
org.apache.commons.fileupload.DiskFileItemSerializeTest.testAboveThreshold()	org.apache.commons.fileupload.DiskFileItemSerializeTest.compareBytes(String,byte[],byte[])
org.apache.commons.fileupload.DiskFileUpload.parseRequest(HttpServletRequest,int,long,String)	org.apache.commons.fileupload.DiskFileUpload.setSizeThreshold(int)
org.apache.commons.fileupload.SizesTest.testMaxSizeLimitUnknownContentLength()	org.apache.commons.fileupload.servlet.ServletFileUpload.getItemIterator(HttpServletRequest)
org.apache.commons.fileupload.MultipartStream.ItemInputStream.close(boolean)	org.apache.commons.fileupload.MultipartStream.ItemInputStream.available()
org.apache.commons.fileupload.DefaultFileItemTest.testTextFieldConstruction()	org.apache.commons.fileupload.DefaultFileItemTest.createFactory(File)
org.apache.commons.fileupload.DiskFileItemSerializeTest.compareFileItems(FileItem,FileItem)	org.apache.commons.fileupload.FileItem.getFieldName()
org.apache.commons.fileupload.FileUploadBase.createItem(Map<String, String>,boolean)	org.apache.commons.fileupload.FileUploadBase.getFileItemFactory()
org.apache.commons.fileupload.FileUploadBase.parseRequest(RequestContext)	org.apache.commons.fileupload.FileItem.getOutputStream()
org.apache.commons.fileupload.ServletFileUploadTest.testFilenameCaseSensitivity()	org.apache.commons.fileupload.FileItem.getFieldName()
org.apache.commons.fileupload.StreamingTest.testIOException()	org.apache.commons.fileupload.StreamingTest.parseUpload(InputStream,int)
org.apache.commons.fileupload.StreamingTest.testFILEUPLOAD135()	org.apache.commons.fileupload.FileItem.getFieldName()
org.apache.commons.fileupload.ProgressListenerTest.runTest(int,long,MockHttpServletRequest)	org.apache.commons.fileupload.servlet.ServletFileUpload.getItemIterator(HttpServletRequest)
org.apache.commons.fileupload.SizesTest.testMaxSizeLimitUnknownContentLength()	org.apache.commons.fileupload.FileItemStream.getFieldName()
org.apache.commons.fileupload.FileUploadBase.getFileName(Map<String, String>)	org.apache.commons.fileupload.FileUploadBase.getFileName(String)
org.apache.commons.fileupload.DiskFileItemSerializeTest.compareFileItems(FileItem,FileItem)	org.apache.commons.fileupload.FileItem.isInMemory()
org.apache.commons.fileupload.DefaultFileItemTest.testAboveThresholdSpecifiedRepository()	org.apache.commons.fileupload.DefaultFileItemTest.doTestAboveThreshold(File)
org.apache.commons.fileupload.DiskFileItemSerializeTest.testAboveThreshold()	org.apache.commons.fileupload.DiskFileItemSerializeTest.compareFileItems(FileItem,FileItem)
org.apache.commons.fileupload.StreamingTest.newShortRequest()	org.apache.commons.fileupload.StreamingTest.getFooter()
org.apache.commons.fileupload.utils.mime.MimeUtilityTestCase.decodeBEncoded()	org.apache.commons.fileupload.utils.mime.MimeUtilityTestCase.assertEncoded(String,String)
org.apache.commons.fileupload.ParameterParserTest.testParsing()	org.apache.commons.fileupload.ParameterParser.parse(String,char)
org.apache.commons.fileupload.util.Streams.asString(InputStream,String)	org.apache.commons.fileupload.util.Streams.copy(InputStream,OutputStream,boolean)
org.apache.commons.fileupload.DiskFileItemSerializeTest.testThreshold()	org.apache.commons.fileupload.FileItem.getSize()
org.apache.commons.fileupload.disk.DiskFileItem.write(File)	org.apache.commons.fileupload.disk.DiskFileItem.isInMemory()
org.apache.commons.fileupload.FileUploadBase.parseRequest(RequestContext)	org.apache.commons.fileupload.util.Streams.copy(InputStream,OutputStream,boolean)
org.apache.commons.fileupload.MultipartStream.ItemInputStream.read(byte[],int,int)	org.apache.commons.fileupload.MultipartStream.ItemInputStream.available()
org.apache.commons.fileupload.FileUploadBase.FileItemIteratorImpl.findNextItem()	org.apache.commons.fileupload.MultipartStream.readBoundary()
