Caller	Callee
org.apache.commons.beanutils2.LazyDynaMapTestCase.testIndexedPropertyRestricted()	org.apache.commons.beanutils2.LazyDynaMap.getDynaProperty(String)
org.apache.commons.beanutils2.DefaultIntrospectionContextTestCase.testHasPropertyFalse()	org.apache.commons.beanutils2.DefaultIntrospectionContext.hasProperty(String)
org.apache.commons.beanutils2.PropertyUtilsTestCase.testGetNestedString()	org.apache.commons.beanutils2.TestBean.getStringProperty()
org.apache.commons.beanutils2.LazyDynaBean.set(String,String,Object)	org.apache.commons.beanutils2.LazyDynaBean.set(String,Object)
org.apache.commons.beanutils2.BeanUtilsBean.cloneBean(Object)	org.apache.commons.beanutils2.PropertyUtilsBean.copyProperties(Object,Object)
org.apache.commons.beanutils2.converters.BigIntegerLocaleConverterTestCase.testConstructor_3()	org.apache.commons.beanutils2.locale.converters.BigIntegerLocaleConverter.Builder.get()
org.apache.commons.beanutils2.PropertyUtilsTestCase.testSetMappedPeriods()	org.apache.commons.beanutils2.TestBean.getNested()
org.apache.commons.beanutils2.PropertyUtilsBean.setNestedProperty(Object,String,Object)	org.apache.commons.beanutils2.PropertyUtilsBean.setMappedProperty(Object,String,Object)
org.apache.commons.beanutils2.BeanUtilsBean2TestCase.testCopyPropertyConvertToString()	org.apache.commons.beanutils2.BeanUtils.copyProperty(Object,String,Object)
org.apache.commons.beanutils2.bugs.Jira456TestCase.testWriteMethodRecover()	org.apache.commons.beanutils2.FluentIntrospectionTestBean.getFluentGetProperty()
org.apache.commons.beanutils2.DynaPropertyUtilsTestCase.testGetNestedString()	org.apache.commons.beanutils2.DynaBean.get(String)
org.apache.commons.beanutils2.converters.AbstractConverter.handleMissing(Class<T>)	org.apache.commons.beanutils2.converters.AbstractConverter.toString(Class<?>)
org.apache.commons.beanutils2.converters.DateLocaleConverterTestCase.testConstructor_3()	org.apache.commons.beanutils2.locale.converters.DateLocaleConverter.Builder.get()
org.apache.commons.beanutils2.LazyDynaClassTestCase.testRemoveProperty()	org.apache.commons.beanutils2.LazyDynaClass.remove(String)
org.apache.commons.beanutils2.locale.LocaleConvertUtilsBean.convert(String[],Class<?>)	org.apache.commons.beanutils2.locale.LocaleConvertUtilsBean.getDefaultLocale()
org.apache.commons.beanutils2.PropertyUtilsTestCase.testSetNoGetter()	org.apache.commons.beanutils2.BetaBean.getSecret()
org.apache.commons.beanutils2.LazyDynaListTestCase.testSerializationLazyDynaBean()	org.apache.commons.beanutils2.LazyDynaList.get(int)
org.apache.commons.beanutils2.locale.LocaleConvertUtilsBean.create(Locale)	org.apache.commons.beanutils2.locale.converters.ByteLocaleConverter.builder()
org.apache.commons.beanutils2.BeanMap.entryIterator()	org.apache.commons.beanutils2.BeanMap.keyIterator()
org.apache.commons.beanutils2.LazyDynaListTestCase.mapTest(LazyDynaList,Class<?>,Object)	org.apache.commons.beanutils2.LazyDynaList.add(int,Object)
org.apache.commons.beanutils2.PropertyUtilsTestCase.testSetNestedDouble()	org.apache.commons.beanutils2.PropertyUtils.setNestedProperty(Object,String,Object)
org.apache.commons.beanutils2.PropertyUtilsTestCase.testGetIndexedArray()	org.apache.commons.beanutils2.PropertyUtils.getProperty(Object,String)
org.apache.commons.beanutils2.converters.LocalTimeConverter.convertToType(Class<T>,Object)	org.apache.commons.beanutils2.converters.AbstractConverter.conversionException(Class<?>,Object)
org.apache.commons.beanutils2.converters.BigDecimalLocaleConverterTestCase.testConstructor_3()	org.apache.commons.beanutils2.locale.BaseLocaleConverter.Builder.setLocalizedPattern(boolean)
org.apache.commons.beanutils2.BeanToPropertyValueTransformerTestCase.testTransformWithSimpleStringPropertyAndNullValue()	org.apache.commons.beanutils2.BeanToPropertyValueTransformer.apply(T)
org.apache.commons.beanutils2.locale.LocaleBeanificationTestCase.testBeanUtilsBeanSetInstance()	org.apache.commons.beanutils2.locale.LocaleBeanificationTestCase.Signal.getBean()
org.apache.commons.beanutils2.BeanUtilsBeanTestCase.testGetNestedProperty()	org.apache.commons.beanutils2.TestBean.getNested()
org.apache.commons.beanutils2.BeanPropertyValueChangeConsumerTestCase.testExecuteWithSimpleStringProperty()	org.apache.commons.beanutils2.TestBean.getStringProperty()
org.apache.commons.beanutils2.PropertyUtilsBean.getPropertyType(Object,String)	org.apache.commons.beanutils2.PropertyUtilsBean.getPropertyDescriptor(Object,String)
org.apache.commons.beanutils2.converters.AbstractNumberConverterTest.testNumberToStringDefault()	org.apache.commons.beanutils2.converters.AbstractConverter.convert(Class<R>,Object)
org.apache.commons.beanutils2.converters.ShortLocaleConverterTestCase.testConstructor_8()	org.apache.commons.beanutils2.locale.converters.ShortLocaleConverter.builder()
org.apache.commons.beanutils2.PropertyUtilsBean.getPropertyDescriptor(Object,String)	org.apache.commons.beanutils2.BeanIntrospectionData.getDescriptor(String)
org.apache.commons.beanutils2.LazyDynaMap.newInstance()	org.apache.commons.beanutils2.LazyDynaMap.getDynaProperties()
org.apache.commons.beanutils2.converters.NumberConverter.convertToString(Object)	org.apache.commons.beanutils2.converters.AbstractConverter.log()
org.apache.commons.beanutils2.PropertyUtilsTestCase.testGetNestedLong()	org.apache.commons.beanutils2.TestBean.getNested()
org.apache.commons.beanutils2.BeanUtilsBean.getIndexedProperty(Object,String)	org.apache.commons.beanutils2.BeanUtilsBean.getPropertyUtils()
org.apache.commons.beanutils2.MethodUtilsTestCase.testInvokeExactStaticMethodNull()	org.apache.commons.beanutils2.TestBean.currentCounter()
org.apache.commons.beanutils2.sql.DynaResultSetTestCase.testGetDynaProperties()	org.apache.commons.beanutils2.DynaProperty.getName()
org.apache.commons.beanutils2.PropertyUtilsTestCase.testCustomIntrospection()	org.apache.commons.beanutils2.IntrospectionContext.getPropertyDescriptor(String)
org.apache.commons.beanutils2.converters.DateLocaleConverterTestCase.testCalendarObject()	org.apache.commons.beanutils2.locale.converters.DateLocaleConverter.Builder.get()
org.apache.commons.beanutils2.sql.converters.SqlTimeConverterTestCase.testDefaultStringToTypeConvert()	org.apache.commons.beanutils2.converters.DateTimeConverter.setUseLocaleFormat(boolean)
org.apache.commons.beanutils2.converters.NumberConverter.toString()	org.apache.commons.beanutils2.converters.AbstractConverter.isUseDefault()
org.apache.commons.beanutils2.BeanUtilsBeanTestCase.testSetPropertyShort()	org.apache.commons.beanutils2.TestBean.getShortProperty()
org.apache.commons.beanutils2.converters.ArrayConverterTestCase.testStringArrayToNumber()	org.apache.commons.beanutils2.converters.AbstractConverter.convert(Class<R>,Object)
org.apache.commons.beanutils2.BeanUtilsBean.setProperty(Object,String,Object)	org.apache.commons.beanutils2.expression.Resolver.getProperty(String)
org.apache.commons.beanutils2.ConvertUtilsTestCase.testPositiveIntegerArray()	org.apache.commons.beanutils2.ConvertUtilsTestCase.checkIntegerArray(Object,int[])
org.apache.commons.beanutils2.BeanToPropertyValueTransformerTestCase.testTransformWithSimpleLongProperty()	org.apache.commons.beanutils2.BeanToPropertyValueTransformer.apply(T)
org.apache.commons.beanutils2.ConvertUtilsTestCase.testNegativeIntegerArray()	org.apache.commons.beanutils2.ConvertUtils.convert(String,Class<?>)
org.apache.commons.beanutils2.converters.AbstractDateConverterTest.testInvalidType()	org.apache.commons.beanutils2.converters.AbstractConverter.convert(Class<R>,Object)
org.apache.commons.beanutils2.converters.LongLocaleConverterTestCase.testConstructor_5()	org.apache.commons.beanutils2.locale.BaseLocaleConverter.Builder.setLocalizedPattern(boolean)
org.apache.commons.beanutils2.LazyDynaList.setElementType(Class<?>)	org.apache.commons.beanutils2.WrapDynaBean.getInstance()
org.apache.commons.beanutils2.BeanUtilsBeanTestCase.testGetSimpleProperty()	org.apache.commons.beanutils2.TestBean.getShortProperty()
org.apache.commons.beanutils2.bugs.Jira61TestCase.testIssue_BEANUTILS_61_PropertyUtils_setProperty_Indexed()	org.apache.commons.beanutils2.PropertyUtils.setProperty(Object,String,Object)
org.apache.commons.beanutils2.PropertyUtilsTestCase.testGetSimpleNested()	org.apache.commons.beanutils2.PropertyUtils.getSimpleProperty(Object,String)
org.apache.commons.beanutils2.PropertyUtilsTestCase.testSetNestedFloat()	org.apache.commons.beanutils2.PropertyUtils.setNestedProperty(Object,String,Object)
org.apache.commons.beanutils2.WeakFastHashMap.CollectionView.retainAll(Collection<?>)	org.apache.commons.beanutils2.WeakFastHashMap.CollectionView.get(Map<K, V>)
org.apache.commons.beanutils2.converters.LongLocaleConverterTestCase.testConstructorMain()	org.apache.commons.beanutils2.locale.converters.LongLocaleConverter.Builder.get()
org.apache.commons.beanutils2.BeanUtilsBeanTestCase.testArrayPropertyConversion()	org.apache.commons.beanutils2.BeanUtilsBean.getArrayProperty(Object,String)
org.apache.commons.beanutils2.sql.DynaRowSetTestCase.TestResultSetMetaDataInconsistent.getColumnClassName(int)	org.apache.commons.beanutils2.sql.TestResultSetMetaData.getColumnName(int)
org.apache.commons.beanutils2.PropertyUtils.getPropertyDescriptor(Object,String)	org.apache.commons.beanutils2.PropertyUtilsBean.getInstance()
org.apache.commons.beanutils2.IndexedPropertyTestCase.testGetArrayAsString()	org.apache.commons.beanutils2.BeanUtilsBean.getProperty(Object,String)
org.apache.commons.beanutils2.converters.AbstractConverter.handleMissing(Class<T>)	org.apache.commons.beanutils2.converters.AbstractConverter.log()
org.apache.commons.beanutils2.MappedPropertyTestCase.testPrimitiveArgsProperty()	org.apache.commons.beanutils2.MappedPropertyDescriptor.getMappedWriteMethod()
org.apache.commons.beanutils2.BeanUtilsBeanTestCase.testCopyPropertiesDynaBean()	org.apache.commons.beanutils2.TestBean.getShortProperty()
org.apache.commons.beanutils2.LazyDynaListTestCase.testSerializationLazyDynaBean()	org.apache.commons.beanutils2.LazyDynaListTestCase.serializeDeserialize(Object,String)
org.apache.commons.beanutils2.LazyDynaBeanTestCase.testIndexedPropertyUtils()	org.apache.commons.beanutils2.LazyDynaClass.isDynaProperty(String)
org.apache.commons.beanutils2.BeanUtils.getProperty(Object,String)	org.apache.commons.beanutils2.BeanUtilsBean.getInstance()
org.apache.commons.beanutils2.locale.LocaleConvertUtils.convert(String,Class<?>)	org.apache.commons.beanutils2.locale.LocaleConvertUtilsBean.getInstance()
org.apache.commons.beanutils2.sql.ResultSetIterator.set(String,Object)	org.apache.commons.beanutils2.sql.JDBCDynaClass.getDynaProperty(String)
org.apache.commons.beanutils2.PropertyUtilsBean.getMappedProperty(Object,String,String)	org.apache.commons.beanutils2.PropertyUtilsBean.invokeMethod(Method,Object,Object[])
org.apache.commons.beanutils2.sql.DynaRowSetTestCase.testInconsistentOracleDriver()	org.apache.commons.beanutils2.DynaBean.get(String)
org.apache.commons.beanutils2.converters.IntegerLocaleConverterTestCase.testConstructor_7()	org.apache.commons.beanutils2.locale.BaseLocaleConverter.Builder.setLocale(Locale)
org.apache.commons.beanutils2.converters.DateLocaleConverterTestCase.testCalendarObject()	org.apache.commons.beanutils2.locale.converters.DateLocaleConverter.builder()
org.apache.commons.beanutils2.bugs.Jira456TestCase.testWriteMethodRecover()	org.apache.commons.beanutils2.bugs.Jira456TestCase.clearWriteMethodRef()
