File Directory	Function Name	Function Signature	Function Starting Line No	Function Ending Line No	Cyclomatic
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\AlreadySelectedException.java	getOption	org.apache.commons.cli.AlreadySelectedException.getOption()	69	71	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\AlreadySelectedException.java	getOptionGroup	org.apache.commons.cli.AlreadySelectedException.getOptionGroup()	79	81	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\AmbiguousOptionException.java	createMessage	org.apache.commons.cli.AmbiguousOptionException.createMessage(String, Collection<String>)	41	58	3
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\AmbiguousOptionException.java	getMatchingOptions	org.apache.commons.cli.AmbiguousOptionException.getMatchingOptions()	79	81	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\BasicParser.java	flatten	org.apache.commons.cli.BasicParser.flatten(Options, String[], boolean)	44	48	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\CommandLine.java	addArg	org.apache.commons.cli.Builder.addArg(String)	58	61	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\CommandLine.java	addOption	org.apache.commons.cli.Builder.addOption(Option)	70	73	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\CommandLine.java	build	org.apache.commons.cli.Builder.build()	80	82	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\CommandLine.java	addArg	org.apache.commons.cli.CommandLine.addArg(String)	106	110	2
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\CommandLine.java	addOption	org.apache.commons.cli.CommandLine.addOption(Option)	117	121	2
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\CommandLine.java	getArgList	org.apache.commons.cli.CommandLine.getArgList()	128	130	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\CommandLine.java	getArgs	org.apache.commons.cli.CommandLine.getArgs()	137	139	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\CommandLine.java	getOptionObject	org.apache.commons.cli.CommandLine.getOptionObject(char)	149	151	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\CommandLine.java	getOptionObject	org.apache.commons.cli.CommandLine.getOptionObject(String)	161	168	4
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\CommandLine.java	getOptionProperties	org.apache.commons.cli.CommandLine.getOptionProperties(Option)	180	197	6
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\CommandLine.java	getOptionProperties	org.apache.commons.cli.CommandLine.getOptionProperties(String)	209	226	7
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\CommandLine.java	getOptions	org.apache.commons.cli.CommandLine.getOptions()	233	235	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\CommandLine.java	getOptionValue	org.apache.commons.cli.CommandLine.getOptionValue(char)	243	245	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\CommandLine.java	getOptionValue	org.apache.commons.cli.CommandLine.getOptionValue(char, String)	254	256	1
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\CommandLine.java	getOptionValue	org.apache.commons.cli.CommandLine.getOptionValue(Option)	265	271	4
