File Directory	Function Name	Function Signature	Function Starting Line No	Function Ending Line No	Cyclomatic	Result
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\AlreadySelectedException.java	getOption	org.apache.commons.cli.AlreadySelectedException.getOption()	69	71	1	[{"authorEmail":"garydgregory@gmail.com","authorName":"Gary Gregory","commitYear":"2021","diff":"\"\""},{"authorEmail":"ebourg@apache.org","authorName":"Emmanuel Bourg","commitYear":"2008","diff":"\"\""},{"authorEmail":"ebourg@apache.org","authorName":"Emmanuel Bourg","commitYear":"2008","diff":"\"@@ -0,0 +1,3 @@\\n+public Option getOption() {\\r\\n+    return option;\\r\\n+}\\n\\\\ No newline at end of file\\n\""}]
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\AlreadySelectedException.java	getOptionGroup	org.apache.commons.cli.AlreadySelectedException.getOptionGroup()	79	81	1	[{"authorEmail":"garydgregory@gmail.com","authorName":"Gary Gregory","commitYear":"2021","diff":"\"\""},{"authorEmail":"ebourg@apache.org","authorName":"Emmanuel Bourg","commitYear":"2008","diff":"\"\""},{"authorEmail":"ebourg@apache.org","authorName":"Emmanuel Bourg","commitYear":"2008","diff":"\"@@ -0,0 +1,3 @@\\n+public OptionGroup getOptionGroup() {\\r\\n+    return group;\\r\\n+}\\n\\\\ No newline at end of file\\n\""}]
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\AmbiguousOptionException.java	createMessage	org.apache.commons.cli.AmbiguousOptionException.createMessage(String, Collection<String>)	41	58	3	[{"authorEmail":"garydgregory@gmail.com","authorName":"Gary Gregory","commitYear":"2021","diff":"\"\""},{"authorEmail":"ggregory@apache.org","authorName":"Gary D. Gregory","commitYear":"2017","diff":"\"@@ -1,16 +1,16 @@\\n-private static String createMessage(String option, Collection<String> matchingOptions) {\\r\\n+private static String createMessage(final String option, final Collection<String> matchingOptions) {\\r\\n     final StringBuilder buf = new StringBuilder(\\\"Ambiguous option: '\\\");\\r\\n     buf.append(option);\\r\\n     buf.append(\\\"'  (could be: \\\");\\r\\n     final Iterator<String> it = matchingOptions.iterator();\\r\\n     while (it.hasNext()) {\\r\\n         buf.append(\\\"'\\\");\\r\\n         buf.append(it.next());\\r\\n         buf.append(\\\"'\\\");\\r\\n         if (it.hasNext()) {\\r\\n             buf.append(\\\", \\\");\\r\\n         }\\r\\n     }\\r\\n     buf.append(\\\")\\\");\\r\\n     return buf.toString();\\r\\n }\\n\\\\ No newline at end of file\\n\""},{"authorEmail":"ggregory@apache.org","authorName":"Gary D. Gregory","commitYear":"2017","diff":"\"@@ -1,16 +1,16 @@\\n private static String createMessage(String option, Collection<String> matchingOptions) {\\r\\n-    StringBuilder buf = new StringBuilder(\\\"Ambiguous option: '\\\");\\r\\n+    final StringBuilder buf = new StringBuilder(\\\"Ambiguous option: '\\\");\\r\\n     buf.append(option);\\r\\n     buf.append(\\\"'  (could be: \\\");\\r\\n-    Iterator<String> it = matchingOptions.iterator();\\r\\n+    final Iterator<String> it = matchingOptions.iterator();\\r\\n     while (it.hasNext()) {\\r\\n         buf.append(\\\"'\\\");\\r\\n         buf.append(it.next());\\r\\n         buf.append(\\\"'\\\");\\r\\n         if (it.hasNext()) {\\r\\n             buf.append(\\\", \\\");\\r\\n         }\\r\\n     }\\r\\n     buf.append(\\\")\\\");\\r\\n     return buf.toString();\\r\\n }\\n\\\\ No newline at end of file\\n\""},{"authorEmail":"ebourg@apache.org","authorName":"Emmanuel Bourg","commitYear":"2011","diff":"\"@@ -1,16 +1,16 @@\\n private static String createMessage(String option, Collection<String> matchingOptions) {\\r\\n-    StringBuffer buff = new StringBuffer(\\\"Ambiguous option: '\\\");\\r\\n-    buff.append(option);\\r\\n-    buff.append(\\\"'  (could be: \\\");\\r\\n+    StringBuilder buf = new StringBuilder(\\\"Ambiguous option: '\\\");\\r\\n+    buf.append(option);\\r\\n+    buf.append(\\\"'  (could be: \\\");\\r\\n     Iterator<String> it = matchingOptions.iterator();\\r\\n     while (it.hasNext()) {\\r\\n-        buff.append(\\\"'\\\");\\r\\n-        buff.append(it.next());\\r\\n-        buff.append(\\\"'\\\");\\r\\n+        buf.append(\\\"'\\\");\\r\\n+        buf.append(it.next());\\r\\n+        buf.append(\\\"'\\\");\\r\\n         if (it.hasNext()) {\\r\\n-            buff.append(\\\", \\\");\\r\\n+            buf.append(\\\", \\\");\\r\\n         }\\r\\n     }\\r\\n-    buff.append(\\\")\\\");\\r\\n-    return buff.toString();\\r\\n+    buf.append(\\\")\\\");\\r\\n+    return buf.toString();\\r\\n }\\n\\\\ No newline at end of file\\n\""},{"authorEmail":"simonetripodi@apache.org","authorName":"Simone Tripodi","commitYear":"2011","diff":"\"@@ -1,16 +1,16 @@\\n private static String createMessage(String option, Collection<String> matchingOptions) {\\r\\n     StringBuffer buff = new StringBuffer(\\\"Ambiguous option: '\\\");\\r\\n     buff.append(option);\\r\\n     buff.append(\\\"'  (could be: \\\");\\r\\n-    Iterator it = matchingOptions.iterator();\\r\\n+    Iterator<String> it = matchingOptions.iterator();\\r\\n     while (it.hasNext()) {\\r\\n         buff.append(\\\"'\\\");\\r\\n         buff.append(it.next());\\r\\n         buff.append(\\\"'\\\");\\r\\n         if (it.hasNext()) {\\r\\n             buff.append(\\\", \\\");\\r\\n         }\\r\\n     }\\r\\n     buff.append(\\\")\\\");\\r\\n     return buff.toString();\\r\\n }\\n\\\\ No newline at end of file\\n\""},{"authorEmail":"ebourg@apache.org","authorName":"Emmanuel Bourg","commitYear":"2011","diff":"\"@@ -1,16 +1,16 @@\\n-private static String createMessage(String option, Collection matchingOptions) {\\r\\n+private static String createMessage(String option, Collection<String> matchingOptions) {\\r\\n     StringBuffer buff = new StringBuffer(\\\"Ambiguous option: '\\\");\\r\\n     buff.append(option);\\r\\n     buff.append(\\\"'  (could be: \\\");\\r\\n     Iterator it = matchingOptions.iterator();\\r\\n     while (it.hasNext()) {\\r\\n         buff.append(\\\"'\\\");\\r\\n         buff.append(it.next());\\r\\n         buff.append(\\\"'\\\");\\r\\n         if (it.hasNext()) {\\r\\n             buff.append(\\\", \\\");\\r\\n         }\\r\\n     }\\r\\n     buff.append(\\\")\\\");\\r\\n     return buff.toString();\\r\\n }\\n\\\\ No newline at end of file\\n\""},{"authorEmail":"ebourg@apache.org","authorName":"Emmanuel Bourg","commitYear":"2009","diff":"\"@@ -0,0 +1,16 @@\\n+private static String createMessage(String option, Collection matchingOptions) {\\r\\n+    StringBuffer buff = new StringBuffer(\\\"Ambiguous option: '\\\");\\r\\n+    buff.append(option);\\r\\n+    buff.append(\\\"'  (could be: \\\");\\r\\n+    Iterator it = matchingOptions.iterator();\\r\\n+    while (it.hasNext()) {\\r\\n+        buff.append(\\\"'\\\");\\r\\n+        buff.append(it.next());\\r\\n+        buff.append(\\\"'\\\");\\r\\n+        if (it.hasNext()) {\\r\\n+            buff.append(\\\", \\\");\\r\\n+        }\\r\\n+    }\\r\\n+    buff.append(\\\")\\\");\\r\\n+    return buff.toString();\\r\\n+}\\n\\\\ No newline at end of file\\n\""}]
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\AmbiguousOptionException.java	getMatchingOptions	org.apache.commons.cli.AmbiguousOptionException.getMatchingOptions()	79	81	1	[{"authorEmail":"garydgregory@gmail.com","authorName":"Gary Gregory","commitYear":"2021","diff":"\"\""},{"authorEmail":"tn@apache.org","authorName":"Thomas Neidhart","commitYear":"2013","diff":"\"\""},{"authorEmail":"ebourg@apache.org","authorName":"Emmanuel Bourg","commitYear":"2011","diff":"\"@@ -1,3 +1,3 @@\\n-public Collection getMatchingOptions() {\\r\\n+public Collection<String> getMatchingOptions() {\\r\\n     return matchingOptions;\\r\\n }\\n\\\\ No newline at end of file\\n\""},{"authorEmail":"ebourg@apache.org","authorName":"Emmanuel Bourg","commitYear":"2009","diff":"\"@@ -0,0 +1,3 @@\\n+public Collection getMatchingOptions() {\\r\\n+    return matchingOptions;\\r\\n+}\\n\\\\ No newline at end of file\\n\""}]
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\BasicParser.java	flatten	org.apache.commons.cli.BasicParser.flatten(Options, String[], boolean)	44	48	1	[{"authorEmail":"garydgregory@gmail.com","authorName":"Gary Gregory","commitYear":"2021","diff":"\"\""},{"authorEmail":"garydgregory@gmail.com","authorName":"Gary Gregory","commitYear":"2021","diff":"\"\""},{"authorEmail":"ggregory@apache.org","authorName":"Gary D. Gregory","commitYear":"2017","diff":"\"@@ -1,4 +1,4 @@\\n @Override\\r\\n-protected String[] flatten(@SuppressWarnings(\\\"unused\\\") Options options, String[] arguments, @SuppressWarnings(\\\"unused\\\") boolean stopAtNonOption) {\\r\\n+protected String[] flatten(@SuppressWarnings(\\\"unused\\\") final Options options, final String[] arguments, @SuppressWarnings(\\\"unused\\\") final boolean stopAtNonOption) {\\r\\n     return arguments;\\r\\n }\\n\\\\ No newline at end of file\\n\""},{"authorEmail":"simonetripodi@apache.org","authorName":"Simone Tripodi","commitYear":"2011","diff":"\"@@ -1,3 +1,4 @@\\n-protected String[] flatten(Options options, String[] arguments, boolean stopAtNonOption) {\\r\\n+@Override\\r\\n+protected String[] flatten(@SuppressWarnings(\\\"unused\\\") Options options, String[] arguments, @SuppressWarnings(\\\"unused\\\") boolean stopAtNonOption) {\\r\\n     return arguments;\\r\\n }\\n\\\\ No newline at end of file\\n\""},{"authorEmail":"ebourg@apache.org","authorName":"Emmanuel Bourg","commitYear":"2008","diff":"\"\""},{"authorEmail":"jkeyes@apache.org","authorName":"John Keyes","commitYear":"2002","diff":"\"\""},{"authorEmail":"jkeyes@apache.org","authorName":"John Keyes","commitYear":"2002","diff":"\"@@ -0,0 +1,3 @@\\n+protected String[] flatten(Options options, String[] arguments, boolean stopAtNonOption) {\\r\\n+    return arguments;\\r\\n+}\\n\\\\ No newline at end of file\\n\""}]
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\CommandLine.java	addArg	org.apache.commons.cli.Builder.addArg(String)	58	61	1	[{"authorEmail":"garydgregory@gmail.com","authorName":"Gary Gregory","commitYear":"2023","diff":"\"\""},{"authorEmail":"ggregory@apache.org","authorName":"Gary D. Gregory","commitYear":"2017","diff":"\"@@ -1,4 +1,4 @@\\n-public Builder addArg(String arg) {\\r\\n+public Builder addArg(final String arg) {\\r\\n     commandLine.addArg(arg);\\r\\n     return this;\\r\\n }\\n\\\\ No newline at end of file\\n\""},{"authorEmail":"britter@apache.org","authorName":"Benedikt Ritter","commitYear":"2017","diff":"\"\""},{"authorEmail":"rfscholte@apache.org","authorName":"Robert Scholte","commitYear":"2017","diff":"\"@@ -1,3 +1,4 @@\\n-protected void addArg(String arg) {\\r\\n-    args.add(arg);\\r\\n+public Builder addArg(String arg) {\\r\\n+    commandLine.addArg(arg);\\r\\n+    return this;\\r\\n }\\n\\\\ No newline at end of file\\n\""},{"authorEmail":"ggregory@apache.org","authorName":"Gary D. Gregory","commitYear":"2016","diff":"\"\""},{"authorEmail":"ebourg@apache.org","authorName":"Emmanuel Bourg","commitYear":"2010","diff":"\"@@ -1,3 +1,3 @@\\n-void addArg(String arg) {\\r\\n+protected void addArg(String arg) {\\r\\n     args.add(arg);\\r\\n }\\n\\\\ No newline at end of file\\n\""},{"authorEmail":"roxspring@apache.org","authorName":"Robert James Oxspring","commitYear":"2004","diff":"\"\""},{"authorEmail":"jkeyes@apache.org","authorName":"John Keyes","commitYear":"2002","diff":"\"\""},{"authorEmail":"jstrachan@apache.org","authorName":"James Strachan","commitYear":"2002","diff":"\"@@ -0,0 +1,3 @@\\n+void addArg(String arg) {\\r\\n+    args.add(arg);\\r\\n+}\\n\\\\ No newline at end of file\\n\""}]
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\CommandLine.java	addOption	org.apache.commons.cli.Builder.addOption(Option)	70	73	1	[{"authorEmail":"garydgregory@gmail.com","authorName":"Gary Gregory","commitYear":"2023","diff":"\"\""},{"authorEmail":"Krishna.Mohan@capitalone.com","authorName":"Krishna Mohan","commitYear":"2017","diff":"\"\""},{"authorEmail":"ggregory@apache.org","authorName":"Gary D. Gregory","commitYear":"2017","diff":"\"@@ -1,4 +1,4 @@\\n-public Builder addOption(Option opt) {\\r\\n+public Builder addOption(final Option opt) {\\r\\n     commandLine.addOption(opt);\\r\\n     return this;\\r\\n }\\n\\\\ No newline at end of file\\n\""},{"authorEmail":"britter@apache.org","authorName":"Benedikt Ritter","commitYear":"2017","diff":"\"\""},{"authorEmail":"rfscholte@apache.org","authorName":"Robert Scholte","commitYear":"2017","diff":"\"@@ -1,3 +1,4 @@\\n-protected void addOption(Option opt) {\\r\\n-    options.add(opt);\\r\\n+public Builder addOption(Option opt) {\\r\\n+    commandLine.addOption(opt);\\r\\n+    return this;\\r\\n }\\n\\\\ No newline at end of file\\n\""},{"authorEmail":"ebourg@apache.org","authorName":"Emmanuel Bourg","commitYear":"2010","diff":"\"@@ -1,3 +1,3 @@\\n-void addOption(Option opt) {\\r\\n+protected void addOption(Option opt) {\\r\\n     options.add(opt);\\r\\n }\\n\\\\ No newline at end of file\\n\""},{"authorEmail":"ebourg@apache.org","authorName":"Emmanuel Bourg","commitYear":"2008","diff":"\"\""},{"authorEmail":"bayard@apache.org","authorName":"Henri Yandell","commitYear":"2007","diff":"\"@@ -1,10 +1,3 @@\\n void addOption(Option opt) {\\r\\n-    hashcodeMap.put(new Integer(opt.hashCode()), opt);\\r\\n-    String key = opt.getKey();\\r\\n-    if (key == null) {\\r\\n-        key = opt.getLongOpt();\\r\\n-    } else {\\r\\n-        names.put(opt.getLongOpt(), key);\\r\\n-    }\\r\\n-    options.put(key, opt);\\r\\n+    options.add(opt);\\r\\n }\\n\\\\ No newline at end of file\\n\""},{"authorEmail":"roxspring@apache.org","authorName":"Robert James Oxspring","commitYear":"2004","diff":"\"\""},{"authorEmail":"jkeyes@apache.org","authorName":"John Keyes","commitYear":"2002","diff":"\"\""},{"authorEmail":"jkeyes@apache.org","authorName":"John Keyes","commitYear":"2002","diff":"\"@@ -1,13 +1,10 @@\\n void addOption(Option opt) {\\r\\n     hashcodeMap.put(new Integer(opt.hashCode()), opt);\\r\\n     String key = opt.getKey();\\r\\n     if (key == null) {\\r\\n         key = opt.getLongOpt();\\r\\n     } else {\\r\\n         names.put(opt.getLongOpt(), key);\\r\\n     }\\r\\n-    if (opt.getValues() != null) {\\r\\n-        System.out.println(opt.getKey() + \\\"=\\\" + opt.getValues().length);\\r\\n-    }\\r\\n     options.put(key, opt);\\r\\n }\\n\\\\ No newline at end of file\\n\""},{"authorEmail":"jkeyes@apache.org","authorName":"John Keyes","commitYear":"2002","diff":"\"@@ -1,15 +1,13 @@\\n void addOption(Option opt) {\\r\\n     hashcodeMap.put(new Integer(opt.hashCode()), opt);\\r\\n-    String key = opt.getOpt();\\r\\n-    if (\\\" \\\".equals(key)) {\\r\\n+    String key = opt.getKey();\\r\\n+    if (key == null) {\\r\\n         key = opt.getLongOpt();\\r\\n     } else {\\r\\n         names.put(opt.getLongOpt(), key);\\r\\n     }\\r\\n-    if (options.get(key) != null) {\\r\\n-        ((java.util.List) options.get(key)).add(opt);\\r\\n-    } else {\\r\\n-        options.put(key, new java.util.ArrayList());\\r\\n-        ((java.util.List) options.get(key)).add(opt);\\r\\n+    if (opt.getValues() != null) {\\r\\n+        System.out.println(opt.getKey() + \\\"=\\\" + opt.getValues().length);\\r\\n     }\\r\\n+    options.put(key, opt);\\r\\n }\\n\\\\ No newline at end of file\\n\""},{"authorEmail":"jkeyes@apache.org","authorName":"John Keyes","commitYear":"2002","diff":"\"@@ -1,13 +1,15 @@\\n void addOption(Option opt) {\\r\\n     hashcodeMap.put(new Integer(opt.hashCode()), opt);\\r\\n     String key = opt.getOpt();\\r\\n     if (\\\" \\\".equals(key)) {\\r\\n         key = opt.getLongOpt();\\r\\n+    } else {\\r\\n+        names.put(opt.getLongOpt(), key);\\r\\n     }\\r\\n     if (options.get(key) != null) {\\r\\n         ((java.util.List) options.get(key)).add(opt);\\r\\n     } else {\\r\\n         options.put(key, new java.util.ArrayList());\\r\\n         ((java.util.List) options.get(key)).add(opt);\\r\\n     }\\r\\n }\\n\\\\ No newline at end of file\\n\""},{"authorEmail":"jkeyes@apache.org","authorName":"John Keyes","commitYear":"2002","diff":"\"@@ -1,15 +1,13 @@\\n void addOption(Option opt) {\\r\\n     hashcodeMap.put(new Integer(opt.hashCode()), opt);\\r\\n-    optionList.add(opt);\\r\\n     String key = opt.getOpt();\\r\\n     if (\\\" \\\".equals(key)) {\\r\\n         key = opt.getLongOpt();\\r\\n     }\\r\\n-    keyList.add(key);\\r\\n     if (options.get(key) != null) {\\r\\n         ((java.util.List) options.get(key)).add(opt);\\r\\n     } else {\\r\\n         options.put(key, new java.util.ArrayList());\\r\\n         ((java.util.List) options.get(key)).add(opt);\\r\\n     }\\r\\n }\\n\\\\ No newline at end of file\\n\""},{"authorEmail":"jkeyes@apache.org","authorName":"John Keyes","commitYear":"2002","diff":"\"@@ -0,0 +1,15 @@\\n+void addOption(Option opt) {\\r\\n+    hashcodeMap.put(new Integer(opt.hashCode()), opt);\\r\\n+    optionList.add(opt);\\r\\n+    String key = opt.getOpt();\\r\\n+    if (\\\" \\\".equals(key)) {\\r\\n+        key = opt.getLongOpt();\\r\\n+    }\\r\\n+    keyList.add(key);\\r\\n+    if (options.get(key) != null) {\\r\\n+        ((java.util.List) options.get(key)).add(opt);\\r\\n+    } else {\\r\\n+        options.put(key, new java.util.ArrayList());\\r\\n+        ((java.util.List) options.get(key)).add(opt);\\r\\n+    }\\r\\n+}\\n\\\\ No newline at end of file\\n\""}]
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\CommandLine.java	build	org.apache.commons.cli.Builder.build()	80	82	1	[{"authorEmail":"garydgregory@gmail.com","authorName":"Gary Gregory","commitYear":"2023","diff":"\"\""},{"authorEmail":"rfscholte@apache.org","authorName":"Robert Scholte","commitYear":"2017","diff":"\"@@ -0,0 +1,3 @@\\n+public CommandLine build() {\\r\\n+    return commandLine;\\r\\n+}\\n\\\\ No newline at end of file\\n\""}]
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\CommandLine.java	addArg	org.apache.commons.cli.CommandLine.addArg(String)	106	110	2	[{"authorEmail":"garydgregory@gmail.com","authorName":"Gary Gregory","commitYear":"2023","diff":"\"@@ -1,3 +1,5 @@\\n protected void addArg(final String arg) {\\r\\n-    args.add(arg);\\r\\n+    if (arg != null) {\\r\\n+        args.add(arg);\\r\\n+    }\\r\\n }\\n\\\\ No newline at end of file\\n\""},{"authorEmail":"garydgregory@gmail.com","authorName":"Gary Gregory","commitYear":"2023","diff":"\"\""},{"authorEmail":"ggregory@apache.org","authorName":"Gary D. Gregory","commitYear":"2017","diff":"\"@@ -1,3 +1,3 @@\\n-protected void addArg(String arg) {\\r\\n+protected void addArg(final String arg) {\\r\\n     args.add(arg);\\r\\n }\\n\\\\ No newline at end of file\\n\""},{"authorEmail":"ggregory@apache.org","authorName":"Gary D. Gregory","commitYear":"2016","diff":"\"\""},{"authorEmail":"ebourg@apache.org","authorName":"Emmanuel Bourg","commitYear":"2010","diff":"\"@@ -1,3 +1,3 @@\\n-void addArg(String arg) {\\r\\n+protected void addArg(String arg) {\\r\\n     args.add(arg);\\r\\n }\\n\\\\ No newline at end of file\\n\""},{"authorEmail":"roxspring@apache.org","authorName":"Robert James Oxspring","commitYear":"2004","diff":"\"\""},{"authorEmail":"jkeyes@apache.org","authorName":"John Keyes","commitYear":"2002","diff":"\"\""},{"authorEmail":"jstrachan@apache.org","authorName":"James Strachan","commitYear":"2002","diff":"\"@@ -0,0 +1,3 @@\\n+void addArg(String arg) {\\r\\n+    args.add(arg);\\r\\n+}\\n\\\\ No newline at end of file\\n\""}]
D:\_SELEN\_2022-2023\CS588\GitHub_Dataset\commons-cli\commons-cli\src\main\java\org\apache\commons\cli\CommandLine.java	addOption	org.apache.commons.cli.CommandLine.addOption(Option)	117	121	2	[{"authorEmail":"garydgregory@gmail.com","authorName":"Gary Gregory","commitYear":"2023","diff":"\"@@ -1,3 +1,5 @@\\n protected void addOption(final Option opt) {\\r\\n-    options.add(opt);\\r\\n+    if (opt != null) {\\r\\n+        options.add(opt);\\r\\n+    }\\r\\n }\\n\\\\ No newline at end of file\\n\""},{"authorEmail":"garydgregory@gmail.com","authorName":"Gary Gregory","commitYear":"2023","diff":"\"\""},{"authorEmail":"garydgregory@gmail.com","authorName":"Gary Gregory","commitYear":"2021","diff":"\"\""},{"authorEmail":"Krishna.Mohan@capitalone.com","authorName":"Krishna Mohan","commitYear":"2017","diff":"\"\""},{"authorEmail":"ggregory@apache.org","authorName":"Gary D. Gregory","commitYear":"2017","diff":"\"@@ -1,3 +1,3 @@\\n-protected void addOption(Option opt) {\\r\\n+protected void addOption(final Option opt) {\\r\\n     options.add(opt);\\r\\n }\\n\\\\ No newline at end of file\\n\""},{"authorEmail":"ebourg@apache.org","authorName":"Emmanuel Bourg","commitYear":"2010","diff":"\"@@ -1,3 +1,3 @@\\n-void addOption(Option opt) {\\r\\n+protected void addOption(Option opt) {\\r\\n     options.add(opt);\\r\\n }\\n\\\\ No newline at end of file\\n\""},{"authorEmail":"ebourg@apache.org","authorName":"Emmanuel Bourg","commitYear":"2008","diff":"\"\""},{"authorEmail":"bayard@apache.org","authorName":"Henri Yandell","commitYear":"2007","diff":"\"@@ -1,10 +1,3 @@\\n void addOption(Option opt) {\\r\\n-    hashcodeMap.put(new Integer(opt.hashCode()), opt);\\r\\n-    String key = opt.getKey();\\r\\n-    if (key == null) {\\r\\n-        key = opt.getLongOpt();\\r\\n-    } else {\\r\\n-        names.put(opt.getLongOpt(), key);\\r\\n-    }\\r\\n-    options.put(key, opt);\\r\\n+    options.add(opt);\\r\\n }\\n\\\\ No newline at end of file\\n\""},{"authorEmail":"roxspring@apache.org","authorName":"Robert James Oxspring","commitYear":"2004","diff":"\"\""},{"authorEmail":"jkeyes@apache.org","authorName":"John Keyes","commitYear":"2002","diff":"\"\""},{"authorEmail":"jkeyes@apache.org","authorName":"John Keyes","commitYear":"2002","diff":"\"@@ -1,13 +1,10 @@\\n void addOption(Option opt) {\\r\\n     hashcodeMap.put(new Integer(opt.hashCode()), opt);\\r\\n     String key = opt.getKey();\\r\\n     if (key == null) {\\r\\n         key = opt.getLongOpt();\\r\\n     } else {\\r\\n         names.put(opt.getLongOpt(), key);\\r\\n     }\\r\\n-    if (opt.getValues() != null) {\\r\\n-        System.out.println(opt.getKey() + \\\"=\\\" + opt.getValues().length);\\r\\n-    }\\r\\n     options.put(key, opt);\\r\\n }\\n\\\\ No newline at end of file\\n\""},{"authorEmail":"jkeyes@apache.org","authorName":"John Keyes","commitYear":"2002","diff":"\"@@ -1,15 +1,13 @@\\n void addOption(Option opt) {\\r\\n     hashcodeMap.put(new Integer(opt.hashCode()), opt);\\r\\n-    String key = opt.getOpt();\\r\\n-    if (\\\" \\\".equals(key)) {\\r\\n+    String key = opt.getKey();\\r\\n+    if (key == null) {\\r\\n         key = opt.getLongOpt();\\r\\n     } else {\\r\\n         names.put(opt.getLongOpt(), key);\\r\\n     }\\r\\n-    if (options.get(key) != null) {\\r\\n-        ((java.util.List) options.get(key)).add(opt);\\r\\n-    } else {\\r\\n-        options.put(key, new java.util.ArrayList());\\r\\n-        ((java.util.List) options.get(key)).add(opt);\\r\\n+    if (opt.getValues() != null) {\\r\\n+        System.out.println(opt.getKey() + \\\"=\\\" + opt.getValues().length);\\r\\n     }\\r\\n+    options.put(key, opt);\\r\\n }\\n\\\\ No newline at end of file\\n\""},{"authorEmail":"jkeyes@apache.org","authorName":"John Keyes","commitYear":"2002","diff":"\"@@ -1,13 +1,15 @@\\n void addOption(Option opt) {\\r\\n     hashcodeMap.put(new Integer(opt.hashCode()), opt);\\r\\n     String key = opt.getOpt();\\r\\n     if (\\\" \\\".equals(key)) {\\r\\n         key = opt.getLongOpt();\\r\\n+    } else {\\r\\n+        names.put(opt.getLongOpt(), key);\\r\\n     }\\r\\n     if (options.get(key) != null) {\\r\\n         ((java.util.List) options.get(key)).add(opt);\\r\\n     } else {\\r\\n         options.put(key, new java.util.ArrayList());\\r\\n         ((java.util.List) options.get(key)).add(opt);\\r\\n     }\\r\\n }\\n\\\\ No newline at end of file\\n\""},{"authorEmail":"jkeyes@apache.org","authorName":"John Keyes","commitYear":"2002","diff":"\"@@ -1,15 +1,13 @@\\n void addOption(Option opt) {\\r\\n     hashcodeMap.put(new Integer(opt.hashCode()), opt);\\r\\n-    optionList.add(opt);\\r\\n     String key = opt.getOpt();\\r\\n     if (\\\" \\\".equals(key)) {\\r\\n         key = opt.getLongOpt();\\r\\n     }\\r\\n-    keyList.add(key);\\r\\n     if (options.get(key) != null) {\\r\\n         ((java.util.List) options.get(key)).add(opt);\\r\\n     } else {\\r\\n         options.put(key, new java.util.ArrayList());\\r\\n         ((java.util.List) options.get(key)).add(opt);\\r\\n     }\\r\\n }\\n\\\\ No newline at end of file\\n\""},{"authorEmail":"jkeyes@apache.org","authorName":"John Keyes","commitYear":"2002","diff":"\"@@ -0,0 +1,15 @@\\n+void addOption(Option opt) {\\r\\n+    hashcodeMap.put(new Integer(opt.hashCode()), opt);\\r\\n+    optionList.add(opt);\\r\\n+    String key = opt.getOpt();\\r\\n+    if (\\\" \\\".equals(key)) {\\r\\n+        key = opt.getLongOpt();\\r\\n+    }\\r\\n+    keyList.add(key);\\r\\n+    if (options.get(key) != null) {\\r\\n+        ((java.util.List) options.get(key)).add(opt);\\r\\n+    } else {\\r\\n+        options.put(key, new java.util.ArrayList());\\r\\n+        ((java.util.List) options.get(key)).add(opt);\\r\\n+    }\\r\\n+}\\n\\\\ No newline at end of file\\n\""}]
