Caller	Callee
org.apache.commons.fileupload2.DiskFileItemSerializeTest.createFileItem(byte[],File)	org.apache.commons.fileupload2.FileItem.getOutputStream()
org.apache.commons.fileupload2.javax.StreamingTest.testFileUpload()	org.apache.commons.fileupload2.FileItem.get()
org.apache.commons.fileupload2.javax.SizesTest.testMaxSizeLimitUnknownContentLength()	org.apache.commons.fileupload2.FileItemStream.getName()
org.apache.commons.fileupload2.ParameterParserTest.testContentTypeParsing()	org.apache.commons.fileupload2.ParameterParser.setLowerCaseNames(boolean)
org.apache.commons.fileupload2.impl.FileItemIteratorImpl.init(AbstractFileUpload,RequestContext)	org.apache.commons.fileupload2.AbstractFileUpload.getBoundary(String)
org.apache.commons.fileupload2.AbstractFileUpload.getBoundary(String)	org.apache.commons.fileupload2.ParameterParser.setLowerCaseNames(boolean)
org.apache.commons.fileupload2.impl.FileItemIteratorImpl.findNextItem()	org.apache.commons.fileupload2.MultipartStream.discardBodyData()
org.apache.commons.fileupload2.javax.ServletFileUploadTest.parseUpload(FileUpload,byte[],String)	org.apache.commons.fileupload2.AbstractFileUpload.parseRequest(RequestContext)
org.apache.commons.fileupload2.DiskFileItemSerializeTest.testInMemoryObject(byte[],File)	org.apache.commons.fileupload2.DiskFileItemSerializeTest.createFileItem(byte[],File)
org.apache.commons.fileupload2.AbstractFileUpload.parseRequest(RequestContext)	org.apache.commons.fileupload2.FileItemStream.getContentType()
org.apache.commons.fileupload2.javax.ProgressListenerTest.runTest(int,long,MockHttpServletRequest)	org.apache.commons.fileupload2.FileItemIterator.next()
org.apache.commons.fileupload2.javax.SizesTest.testMaxSizeLimitUnknownContentLength()	org.apache.commons.fileupload2.FileItemStream.isFormField()
org.apache.commons.fileupload2.MultipartStream.ProgressNotifier.notifyListener()	org.apache.commons.fileupload2.ProgressListener.update(long,long,int)
org.apache.commons.fileupload2.AbstractFileUpload.parseRequest(RequestContext)	org.apache.commons.fileupload2.FileItemStream.getFieldName()
org.apache.commons.fileupload2.javax.StreamingTest.testFileUpload()	org.apache.commons.fileupload2.FileItem.getFieldName()
org.apache.commons.fileupload2.AbstractFileUpload.getBoundary(String)	org.apache.commons.fileupload2.ParameterParser.parse(String,char[])
org.apache.commons.fileupload2.util.mime.MimeUtility.decodeText(String)	org.apache.commons.fileupload2.util.mime.MimeUtility.decodeWord(String)
