Caller	Callee
org.apache.commons.fileupload.FileUpload.parseRequest(HttpServletRequest,int,int,String)	org.apache.commons.fileupload.FileUpload.getHeader(Map,String)
org.apache.commons.fileupload.FileUpload.parseRequest(HttpServletRequest,int,int,String)	org.apache.commons.fileupload.MultipartStream.readBoundary()
org.apache.commons.fileupload.FileUploadTest.testWithNullContentType()	org.apache.commons.fileupload.HttpServletRequestFactory.createHttpServletRequestWithNullContentType()
org.apache.commons.fileupload.MultipartStream.discardBodyData()	org.apache.commons.fileupload.MultipartStream.findSeparator()
org.apache.commons.fileupload.DefaultFileItem.write(String)	org.apache.commons.fileupload.DefaultFileItem.isInMemory()
org.apache.commons.fileupload.FileUpload.getFileName(Map)	org.apache.commons.fileupload.FileUpload.getHeader(Map,String)
org.apache.commons.fileupload.FileUpload.parseRequest(HttpServletRequest,int,int,String)	org.apache.commons.fileupload.MultipartStream.setBoundary(byte[])
org.apache.commons.fileupload.MultipartStream.skipPreamble()	org.apache.commons.fileupload.MultipartStream.discardBodyData()
org.apache.commons.fileupload.FileUpload.parseRequest(HttpServletRequest,int,int,String)	org.apache.commons.fileupload.FileUpload.parseHeaders(String)
org.apache.commons.fileupload.FileUpload.getFieldName(Map)	org.apache.commons.fileupload.FileUpload.getHeader(Map,String)
org.apache.commons.fileupload.FileUpload.parseRequest(HttpServletRequest)	org.apache.commons.fileupload.FileUpload.getRepositoryPath()
org.apache.commons.fileupload.FileUpload.parseRequest(HttpServletRequest,int,int,String)	org.apache.commons.fileupload.MultipartStream.readHeaders()
org.apache.commons.fileupload.MultipartStream.skipPreamble()	org.apache.commons.fileupload.MultipartStream.readBoundary()
org.apache.commons.fileupload.FileUpload.parseRequest(HttpServletRequest,int,int,String)	org.apache.commons.fileupload.FileItem.setIsFormField(boolean)
org.apache.commons.fileupload.DefaultFileItem.get()	org.apache.commons.fileupload.DefaultFileItem.getSize()
org.apache.commons.fileupload.DefaultFileItem.newInstance(String,String,String,int,int)	org.apache.commons.fileupload.DefaultFileItem.getUniqueId()
org.apache.commons.fileupload.MultipartStream.readBodyData(OutputStream)	org.apache.commons.fileupload.MultipartStream.findSeparator()
org.apache.commons.fileupload.FileUpload.parseRequest(HttpServletRequest,int,int,String)	org.apache.commons.fileupload.MultipartStream.discardBodyData()
org.apache.commons.fileupload.FileUpload.parseRequest(HttpServletRequest,int,int,String)	org.apache.commons.fileupload.MultipartStream.skipPreamble()
org.apache.commons.fileupload.FileUpload.parseRequest(HttpServletRequest,int,int,String)	org.apache.commons.fileupload.DefaultFileItem.getOutputStream()
org.apache.commons.fileupload.DefaultFileItem.getString()	org.apache.commons.fileupload.DefaultFileItem.get()
org.apache.commons.fileupload.DefaultFileItem.getString(String)	org.apache.commons.fileupload.DefaultFileItem.get()
org.apache.commons.fileupload.FileUpload.createItem(int,String,Map,int)	org.apache.commons.fileupload.FileUpload.getNewInstanceMethod()
org.apache.commons.fileupload.FileUploadTest.testWithInvalidRequest()	org.apache.commons.fileupload.FileUpload.parseRequest(HttpServletRequest)
org.apache.commons.fileupload.FileUpload.parseRequest(HttpServletRequest)	org.apache.commons.fileupload.FileUpload.getSizeThreshold()
org.apache.commons.fileupload.FileUpload.parseHeaders(String)	org.apache.commons.fileupload.FileUpload.getHeader(Map,String)
org.apache.commons.fileupload.MultipartStream.findSeparator()	org.apache.commons.fileupload.MultipartStream.findByte(byte,int)
org.apache.commons.fileupload.FileUpload.parseRequest(HttpServletRequest,int,int,String)	org.apache.commons.fileupload.FileUpload.createItem(int,String,Map,int)
org.apache.commons.fileupload.FileUploadTest.testWithInvalidRequest()	org.apache.commons.fileupload.HttpServletRequestFactory.createInvalidHttpServletRequest()
org.apache.commons.fileupload.FileUpload.parseRequest(HttpServletRequest)	org.apache.commons.fileupload.FileUpload.getSizeMax()
org.apache.commons.fileupload.FileUpload.parseRequest(HttpServletRequest,int,int,String)	org.apache.commons.fileupload.FileItem.setFieldName(String)
org.apache.commons.fileupload.FileUpload.parseRequest(HttpServletRequest)	org.apache.commons.fileupload.FileUpload.parseRequest(HttpServletRequest,int,int,String)
org.apache.commons.fileupload.FileUpload.parseRequest(HttpServletRequest,int,int,String)	org.apache.commons.fileupload.FileUpload.getFileName(Map)
org.apache.commons.fileupload.FileUpload.parseRequest(HttpServletRequest,int,int,String)	org.apache.commons.fileupload.FileUpload.getFieldName(Map)
org.apache.commons.fileupload.FileUpload.createItem(int,String,Map,int)	org.apache.commons.fileupload.FileUpload.getFileName(Map)
org.apache.commons.fileupload.DefaultFileItem.write(String)	org.apache.commons.fileupload.DefaultFileItem.get()
org.apache.commons.fileupload.FileUpload.parseRequest(HttpServletRequest,int,int,String)	org.apache.commons.fileupload.MultipartStream.readBodyData(OutputStream)
org.apache.commons.fileupload.MultipartStream.readBoundary()	org.apache.commons.fileupload.MultipartStream.readByte()
org.apache.commons.fileupload.MultipartStream.readBoundary()	org.apache.commons.fileupload.MultipartStream.arrayequals(byte[],byte[],int)
org.apache.commons.fileupload.FileUploadTest.testWithNullContentType()	org.apache.commons.fileupload.HttpServletRequestFactory.createInvalidHttpServletRequest()
org.apache.commons.fileupload.FileUploadTest.testWithNullContentType()	org.apache.commons.fileupload.FileUpload.parseRequest(HttpServletRequest)
org.apache.commons.fileupload.FileUpload.createItem(int,String,Map,int)	org.apache.commons.fileupload.FileUpload.getHeader(Map,String)
org.apache.commons.fileupload.MultipartStream.readHeaders()	org.apache.commons.fileupload.MultipartStream.readByte()
