Caller	Callee
org.apache.commons.jxpath.ri.parser.XPathParser.jj_3R_90()	org.apache.commons.jxpath.ri.parser.XPathParser.jj_3R_102()
org.apache.commons.jxpath.ri.compiler.CoreFunction.functionContains(EvalContext)	org.apache.commons.jxpath.ri.compiler.CoreFunction.getArg1()
org.apache.commons.jxpath.ri.axes.SimplePathInterpreter.computeQuality(NodePointer)	org.apache.commons.jxpath.ri.model.NodePointer.isActual()
org.apache.commons.jxpath.issues.JXPath172DynamicTest.testIssue172_propertyDoesNotExist_Lenient()	org.apache.commons.jxpath.Pointer.getValue()
org.apache.commons.jxpath.ri.axes.SimplePathInterpreter.doStepPredicatesStandard(EvalContext,NodePointer,Step[],int)	org.apache.commons.jxpath.ri.axes.SimplePathInterpreter.getNodeIterator(EvalContext,NodePointer,Step)
org.apache.commons.jxpath.ri.parser.XPathParser.jj_3_3()	org.apache.commons.jxpath.ri.parser.XPathParser.jj_3R_17()
org.apache.commons.jxpath.ri.JXPathContextReferenceImpl.getVariablePointer(QName)	org.apache.commons.jxpath.ri.model.NodePointer.newNodePointer(QName,Object,Locale)
org.apache.commons.jxpath.ri.axes.PredicateContext.setPosition(int)	org.apache.commons.jxpath.ri.model.beans.PropertyPointer.getLength()
org.apache.commons.jxpath.ri.axes.SimplePathInterpreter.doStepNoPredicatesPropertyOwner(EvalContext,PropertyOwnerPointer,Step[],int)	org.apache.commons.jxpath.ri.axes.SimplePathInterpreter.createChildPointerForStep(PropertyOwnerPointer,Step)
org.apache.commons.jxpath.ri.model.EmptyCollectionTest.testEmptyChildArray()	org.apache.commons.jxpath.JXPathContext.newContext(Object)
org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer.testNode(NodeTest)	org.apache.commons.jxpath.ri.model.jdom.JDOMNodePointer.testNode(NodePointer,Object,NodeTest)
org.apache.commons.jxpath.ri.parser.XPathParser.FunctionName()	org.apache.commons.jxpath.ri.parser.XPathParser.QName_Without_CoreFunctions()
org.apache.commons.jxpath.ri.compiler.CoreFunction.functionCount(EvalContext)	org.apache.commons.jxpath.ri.compiler.CoreFunction.getArg1()
org.apache.commons.jxpath.ri.parser.XPathParserTokenManager.jjMoveStringLiteralDfa5_0(long,long,long,long)	org.apache.commons.jxpath.ri.parser.XPathParserTokenManager.jjStartNfa_0(int,long,long)
org.apache.commons.jxpath.ri.model.NodePointer.getValuePointer()	org.apache.commons.jxpath.ri.model.NodePointer.getValuePointer()
org.apache.commons.jxpath.ri.model.dynamic.DynamicPropertyPointer.getPropertyIndex()	org.apache.commons.jxpath.ri.model.dynamic.DynamicPropertyPointer.getPropertyNames()
org.apache.commons.jxpath.ri.parser.XPathParser.jj_3R_15()	org.apache.commons.jxpath.ri.parser.XPathParser.jj_scan_token(int)
org.apache.commons.jxpath.ri.parser.XPathParser.jj_3R_79()	org.apache.commons.jxpath.ri.parser.XPathParser.jj_3R_87()
